1.159	0.0589
1.046	0.141
1.286	0
1.299	0
1.027	0.1303
1.223	0
1.108	0.1343
1.135	0.09995
1.135	0.102
1.2	0.002553
1.103	0.1431
1.211	0
1.207	0
1.351	0
1.145	0.08018
1.36	0
1.272	0
1.164	0.04083
1.167	0.03762
1.143	0.08056
1.143	0.08028
1.111	0.133
0.9179	0.04124
1.354	0
1.068	0.15
1.236	0
1.19	0.006612
1.153	0.06661
1.106	0.1356
0.967	0.07802
1.218	0
1.13	0.09984
1.051	0.1424
1.327	0
1.078	0.1481
1.062	0.1483
1.072	0.1516
1.303	0
1.066	0.1501
1.192	0.005411
1.186	0.01633
1.133	0.09965
0.9949	0.1045
1.235	0
1.142	0.08427
1.094	0.1488
1.068	0.1505
1.118	0.1198
1.119	0.121
1.181	0.0207
1.055	0.1449
1.059	0.1476
1.194	0.004586
1.2	0.002685
1.047	0.1396
1.338	0
1.048	0.1402
1.152	0.06778
1.164	0.04151
1.117	0.1214
1.086	0.1479
1.158	0.05972
1.131	0.09841
1.186	0.01609
1.053	0.1435
1.121	0.1181
1.24	0
1.113	0.1317
1.257	0
1.052	0.1438
1.079	0.1473
1.217	0
1.346	0
1.103	0.1431
1.152	0.06664
1.228	0
1.039	0.1394
1.302	0
1.117	0.1218
1.236	0
1.241	0
1.255	0
1.185	0.01687
1.229	0
1.214	0
1.124	0.1198
1.208	0
1.144	0.08013
1.125	0.116
1.083	0.1474
1.193	0.005208
1.137	0.1024
1.048	0.1405
1.272	0
0.9894	0.09872
1.067	0.1502
1.149	0.0759
1.153	0.0679
1.074	0.1515
1.002	0.1097
1.222	0
1.183	0.0192
0.9941	0.1036
1.072	0.1505
1.173	0.03232
1.155	0.0625
1.211	0
0.9654	0.07609
1.262	0
0.9551	0.06844
1.141	0.08701
1.152	0.06936
1.206	0
1.13	0.1068
1.201	0.002305
1.017	0.1232
1.039	0.1365
1.206	0
1.181	0.02071
1.269	0
1.012	0.1182
1.145	0.08149
0.9792	0.0888
1.088	0.1491
1.128	0.1155
1.369	0
1.099	0.1447
1.083	0.1494
0.9378	0.05532
1.175	0.03055
1.182	0.02023
1.117	0.1241
1.032	0.1347
1.119	0.1205
1.104	0.1367
1.149	0.07829
1.252	0
1.217	0
1.193	0.005144
1.198	0.003215
0.9568	0.071
1.174	0.03056
1.124	0.1133
1.294	0
1.068	0.1503
1.157	0.06072
1.226	0
1.151	0.08063
1.02	0.1249
1.241	0
1.103	0.1421
1.137	0.0954
1.316	0
1.167	0.03686
0.988	0.0976
1.246	0
1.145	0.08045
0.9494	0.06295
1.262	0
1.245	0
1.176	0.02361
1.02	0.1253
1.223	0
1.058	0.146
1.1	0.1453
1.221	0
1.262	0
1.038	0.1383
